"timestamp","source_path","destination_path","review_type","confidence","action_taken","notes"
"2026-04-03T22:06:37.3567418-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-28 173453.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-28 173453.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-28)"
"2026-04-03T22:06:37.3587394-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-28 173502.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-28 173502.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-28)"
"2026-04-03T22:06:37.3602460-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-28 174637.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-28 174637.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-28)"
"2026-04-03T22:06:37.3612469-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-28 181206.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-28 181206.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-28)"
"2026-04-03T22:06:37.3657624-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-04-01 095413.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-04-01 095413.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-04-01)"
"2026-04-03T22:06:37.3667652-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-04-01 111521.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-04-01 111521.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-04-01)"
"2026-04-03T22:06:37.3687555-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-04-01 112751.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-04-01 112751.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-04-01)"
"2026-04-03T22:06:37.3697556-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-04-01 114437.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-04-01 114437.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-04-01)"
"2026-04-03T22:06:37.3707571-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-04-01 114449.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-04-01 114449.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-04-01)"
"2026-04-03T22:06:37.3727570-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-04-01 114633.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-04-01 114633.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-04-01)"
"2026-04-03T22:06:37.3742738-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-04-01 115138.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-04-01 115138.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-04-01)"
